"ID","LAT","LON","DEPTH","YEAR","MONTH","DAY","TEMP","NITRATE","SILICATE","PHOSPHATE","TCHL","ALPHA","PMB","PROVNUM","EK"
1,18.53258333,-21.15913333,20.632,1992,6,17,21.274,NA,NA,NA,1.161,0.08083,9.05466,7,112.021031795126
1,18.53258333,-21.15913333,20.632,1992,6,17,21.274,NA,NA,NA,1.161,0.07231,8.77334,7,121.329553312128
1,18.53258333,-21.15913333,30.203,1992,6,17,21.257,NA,NA,NA,0.871,0.06601,7.16483,7,108.541584608393
1,18.53258333,-21.15913333,30.203,1992,6,17,21.257,NA,NA,NA,0.871,0.06799,7.24008,7,106.487424621268
1,18.53258333,-21.15913333,40.37,1992,6,17,21.039,NA,NA,NA,0.321,0.06619,6.69411,7,101.13476355945
1,18.53258333,-21.15913333,40.37,1992,6,17,21.039,NA,NA,NA,0.321,0.06655,6.86942,7,103.221938392186
1,18.53258333,-21.15913333,50.537,1992,6,17,20.451,NA,NA,NA,0.095,0.03783,1.41096,7,37.2973830293418
1,NA,NA,5,1992,6,18,NA,NA,NA,NA,1.243,0.05596,7.73693,9,138.258220157255
1,NA,NA,10,1992,6,18,NA,NA,NA,NA,1.234,0.05525,8.95554,9,162.091221719457
1,NA,NA,15,1992,6,18,NA,NA,NA,NA,1.174,0.05446,9.1041,9,167.170400293794
1,NA,NA,20,1992,6,18,NA,NA,NA,NA,1.074,0.08838,12.07294,9,136.602625028287
1,NA,NA,25,1992,6,18,NA,NA,NA,NA,1.42,0.02916,2.56957,9,88.1196844993141
1,18.5015,-21.10883333,2.449,1992,6,18,21.594,0.05,NA,0.14,1.113,0.04009,9.97875,7,248.908705412821
1,18.5015,-21.10883333,10.061,1992,6,18,21.591,0.01,NA,0.13,1.181,0.03788,9.70945,7,256.321277719113
1,18.5015,-21.10883333,14.859,1992,6,18,21.393,0.07,NA,0.13,1.385,0.03447,8.0992,7,234.963736582536
1,18.5015,-21.10883333,25.222,1992,6,18,21.362,0.24,NA,0.14,0.909,0.08943,14.34496,7,160.40433858884
1,18.5015,-21.10883333,30.349,1992,6,18,21.344,0.45,NA,0.14,0.977,0.07792,11.21704,7,143.955852156057
1,18.5015,-21.10883333,40.099,1992,6,18,21.26,0.75,NA,0.18,0.705,0.05544,6.84345,7,123.438852813853
